Test,Mean,Deviation,Count
MapReduce Foreach,841.087,17.926,524288
MapReduce Foreach,843.568,16.226,524288
MapReduce Foreach,831.242,8.698,524288
MapReduce Foreach,833.056,8.608,524288
MapReduce Foreach,828.946,11.334,524288
MapReduce Linq,1035.244,24.657,262144
MapReduce Linq,1011.744,10.155,262144
MapReduce Linq,1012.659,12.876,262144
MapReduce Linq,1008.993,8.106,262144
MapReduce Linq,1015.716,11.982,262144
MapReduce Struct,142.578,2.098,2097152
MapReduce Struct,140.094,1.400,2097152
MapReduce Struct,140.158,0.753,2097152
MapReduce Struct,139.908,0.750,2097152
MapReduce Struct,144.327,6.362,2097152
Sestoft Multiply,16.322,0.083,16777216
Sestoft Multiply,16.659,0.591,16777216
Sestoft Multiply,16.550,0.159,16777216
Sestoft Multiply,16.589,0.269,16777216
Sestoft Multiply,16.285,0.107,16777216
Primes,2139.125,14.377,131072
Primes,2163.568,45.122,131072
Primes,2189.421,73.126,131072
Primes,2146.107,12.003,131072
Primes,2164.624,20.142,131072
RandomizeArray,2712.374,12.212,131072
RandomizeArray,2766.126,95.508,131072
RandomizeArray,2705.866,9.040,131072
RandomizeArray,2724.621,24.890,131072
RandomizeArray,2701.603,15.234,131072
GameOfLife,47912.363,325.375,8192
GameOfLife,47909.119,161.095,8192
GameOfLife,48300.581,620.044,8192
GameOfLife,47831.526,111.985,8192
GameOfLife,48786.008,1220.741,8192
InvasionPercolation,15313.796,231.198,16384
InvasionPercolation,15210.797,176.750,32768
InvasionPercolation,15131.755,36.055,32768
InvasionPercolation,15114.775,34.942,32768
InvasionPercolation,15205.361,89.946,32768
FibonacciRecursive,2768.876,11.166,131072
FibonacciRecursive,2798.858,55.522,131072
FibonacciRecursive,2799.972,11.209,131072
FibonacciRecursive,2786.775,25.538,131072
FibonacciRecursive,2785.763,47.991,131072
FibonacciIterative,614.935,1.662,524288
FibonacciIterative,615.412,4.615,524288
FibonacciIterative,617.042,5.201,524288
FibonacciIterative,616.262,3.858,524288
FibonacciIterative,615.430,1.573,524288
ScaleVector2D,36.754,0.866,8388608
ScaleVector2D,36.415,0.100,8388608
ScaleVector2D,36.209,0.265,8388608
ScaleVector2D,36.582,0.338,8388608
ScaleVector2D,36.557,0.436,8388608
ScaleVector3D,41.659,0.155,8388608
ScaleVector3D,41.774,0.146,8388608
ScaleVector3D,41.850,0.525,8388608
ScaleVector3D,41.862,0.291,8388608
ScaleVector3D,41.704,0.175,8388608
MultiplyVector2D,20.431,0.106,16777216
MultiplyVector2D,20.605,0.248,16777216
MultiplyVector2D,20.492,0.044,16777216
MultiplyVector2D,20.498,0.036,16777216
MultiplyVector2D,20.585,0.125,16777216
MultiplyVector3D,37.005,0.474,8388608
MultiplyVector3D,36.785,0.296,8388608
MultiplyVector3D,38.374,3.123,8388608
MultiplyVector3D,36.987,0.334,8388608
MultiplyVector3D,36.719,0.092,8388608
TranslateVector2D,20.088,0.057,16777216
TranslateVector2D,20.113,0.042,16777216
TranslateVector2D,20.206,0.123,16777216
TranslateVector2D,20.149,0.076,16777216
TranslateVector2D,20.162,0.130,16777216
TranslateVector3D,35.977,0.081,8388608
TranslateVector3D,35.988,0.075,8388608
TranslateVector3D,36.229,0.331,8388608
TranslateVector3D,36.561,0.822,8388608
TranslateVector3D,36.369,0.656,8388608
SubtractVector2D,20.174,0.055,16777216
SubtractVector2D,20.425,0.255,16777216
SubtractVector2D,20.285,0.189,16777216
SubtractVector2D,20.289,0.165,16777216
SubtractVector2D,20.106,0.079,16777216
SubtractVector3D,20.078,0.051,16777216
SubtractVector3D,20.115,0.179,16777216
SubtractVector3D,20.282,0.448,16777216
SubtractVector3D,20.177,0.231,16777216
SubtractVector3D,20.155,0.107,16777216
LengthVector2D,18.669,0.121,16777216
LengthVector2D,18.607,0.057,16777216
LengthVector2D,18.770,0.212,16777216
LengthVector2D,18.698,0.119,16777216
LengthVector2D,18.720,0.230,16777216
LengthVector3D,19.394,0.295,16777216
LengthVector3D,19.386,0.571,16777216
LengthVector3D,19.346,0.075,16777216
LengthVector3D,19.321,0.128,16777216
LengthVector3D,19.415,0.314,16777216
DotProductVector2D,16.475,0.303,16777216
DotProductVector2D,16.412,0.186,16777216
DotProductVector2D,16.352,0.058,16777216
DotProductVector2D,16.340,0.124,16777216
DotProductVector2D,16.362,0.062,16777216
DotProductVector3D,16.895,0.100,16777216
DotProductVector3D,16.913,0.076,16777216
DotProductVector3D,16.879,0.082,16777216
DotProductVector3D,18.937,2.090,16777216
DotProductVector3D,16.964,0.081,16777216
