Test,Mean,Deviation,Count
MapReduce Foreach,786.170,0.814,524288
MapReduce Foreach,791.497,5.013,524288
MapReduce Foreach,787.622,5.497,524288
MapReduce Foreach,790.261,4.573,524288
MapReduce Foreach,786.235,2.130,524288
MapReduce Linq,985.219,15.621,262144
MapReduce Linq,994.457,19.324,262144
MapReduce Linq,982.250,8.225,262144
MapReduce Linq,995.127,17.484,262144
MapReduce Linq,998.691,18.399,262144
MapReduce Struct,105.398,1.163,4194304
MapReduce Struct,105.507,0.988,4194304
MapReduce Struct,104.856,0.226,4194304
MapReduce Struct,105.285,1.153,4194304
MapReduce Struct,105.601,1.191,4194304
Sestoft Multiply,10.567,0.079,33554432
Sestoft Multiply,10.610,0.099,33554432
Sestoft Multiply,10.528,0.052,33554432
Sestoft Multiply,10.515,0.042,33554432
Sestoft Multiply,10.630,0.108,33554432
Primes,1405.523,7.895,262144
Primes,1403.528,14.909,262144
Primes,1393.515,16.515,262144
Primes,1401.289,12.052,262144
Primes,1404.408,14.360,262144
RandomizeArray,2534.127,22.940,131072
RandomizeArray,2555.347,26.609,131072
RandomizeArray,2533.987,17.861,131072
RandomizeArray,2556.543,31.634,131072
RandomizeArray,2610.127,74.527,131072
GameOfLife,28183.036,133.557,16384
GameOfLife,28001.655,177.810,16384
GameOfLife,28009.982,290.076,16384
GameOfLife,27924.346,229.314,16384
GameOfLife,28202.855,343.770,16384
InvasionPercolation,12535.422,135.108,32768
InvasionPercolation,12515.507,96.858,32768
InvasionPercolation,12395.677,34.215,32768
InvasionPercolation,12464.341,109.683,32768
InvasionPercolation,12497.908,110.565,32768
FibonacciRecursive,120.652,1.209,2097152
FibonacciRecursive,119.845,1.404,2097152
FibonacciRecursive,120.292,1.838,2097152
FibonacciRecursive,118.887,1.487,4194304
FibonacciRecursive,119.404,1.138,4194304
FibonacciIterative,90.881,0.437,4194304
FibonacciIterative,91.110,0.457,4194304
FibonacciIterative,90.576,0.590,4194304
FibonacciIterative,91.074,0.677,4194304
FibonacciIterative,92.241,3.157,4194304
ScaleVector2D,6.955,0.024,67108864
ScaleVector2D,7.031,0.061,67108864
ScaleVector2D,7.033,0.038,67108864
ScaleVector2D,7.106,0.252,67108864
ScaleVector2D,6.999,0.054,67108864
ScaleVector3D,4.180,0.028,67108864
ScaleVector3D,4.169,0.043,67108864
ScaleVector3D,4.158,0.036,67108864
ScaleVector3D,4.149,0.043,67108864
ScaleVector3D,4.186,0.053,67108864
MultiplyVector2D,6.228,0.015,67108864
MultiplyVector2D,6.318,0.058,67108864
MultiplyVector2D,6.264,0.055,67108864
MultiplyVector2D,6.251,0.042,67108864
MultiplyVector2D,6.248,0.071,67108864
MultiplyVector3D,4.180,0.117,67108864
MultiplyVector3D,4.173,0.034,67108864
MultiplyVector3D,4.210,0.046,67108864
MultiplyVector3D,4.191,0.035,67108864
MultiplyVector3D,4.157,0.023,67108864
TranslateVector2D,6.211,0.030,67108864
TranslateVector2D,6.179,0.035,67108864
TranslateVector2D,6.216,0.089,67108864
TranslateVector2D,6.160,0.037,67108864
TranslateVector2D,6.191,0.052,67108864
TranslateVector3D,4.147,0.031,67108864
TranslateVector3D,4.171,0.009,67108864
TranslateVector3D,4.128,0.017,67108864
TranslateVector3D,4.154,0.028,67108864
TranslateVector3D,4.213,0.048,67108864
SubtractVector2D,6.170,0.055,67108864
SubtractVector2D,6.164,0.033,67108864
SubtractVector2D,6.275,0.078,67108864
SubtractVector2D,6.184,0.079,67108864
SubtractVector2D,6.199,0.058,67108864
SubtractVector3D,6.179,0.034,67108864
SubtractVector3D,6.155,0.021,67108864
SubtractVector3D,6.204,0.074,67108864
SubtractVector3D,6.194,0.131,67108864
SubtractVector3D,6.178,0.065,67108864
LengthVector2D,4.677,0.033,67108864
LengthVector2D,4.708,0.020,67108864
LengthVector2D,4.693,0.007,67108864
LengthVector2D,4.688,0.040,67108864
LengthVector2D,4.699,0.028,67108864
LengthVector3D,4.173,0.034,67108864
LengthVector3D,4.174,0.046,67108864
LengthVector3D,4.155,0.037,67108864
LengthVector3D,4.140,0.023,67108864
LengthVector3D,4.142,0.013,67108864
DotProductVector2D,4.516,0.028,67108864
DotProductVector2D,4.586,0.077,67108864
DotProductVector2D,4.526,0.023,67108864
DotProductVector2D,4.540,0.036,67108864
DotProductVector2D,4.582,0.065,67108864
DotProductVector3D,4.185,0.063,67108864
DotProductVector3D,4.168,0.054,67108864
DotProductVector3D,4.144,0.033,67108864
DotProductVector3D,4.254,0.110,67108864
DotProductVector3D,4.153,0.032,67108864
