Test,Mean,Deviation,Count
Primes,1436.283,67.947,262144
RandomizeArray,4707.959,1191.611,131072
FibonacciRecursive,128.428,8.038,2097152
FibonacciIterative,96.453,2.154,4194304
ScaleVector2D,7.084,0.020,67108864
ScaleVector3D,4.374,0.118,67108864
MultiplyVector2D,6.581,0.305,67108864
MultiplyVector3D,6.947,2.544,67108864
TranslateVector2D,7.843,0.557,33554432
TranslateVector3D,4.940,0.091,67108864
SubtractVector2D,7.187,0.061,67108864
SubtractVector3D,10.120,4.048,67108864
LengthVector2D,5.486,0.064,67108864
LengthVector3D,4.518,0.061,67108864
DotProductVector2D,5.279,0.060,67108864
DotProductVector3D,4.402,0.063,67108864
